statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
13311;Regional employment accounts;JAHR;Year;2019;DLAND;Länder;06;Hessen;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-L;Real estate activities;39.8;1000;ERW063;Persons in employment (domestic concept);e
13311;Regional employment accounts;JAHR;Year;2019;DLAND;Länder;06;Hessen;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-L;Real estate activities;4.1;1000;ERW062;Self-employed persons a. family workers (domestic);e
13311;Regional employment accounts;JAHR;Year;2019;DLAND;Länder;06;Hessen;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-L;Real estate activities;35.7;1000;ERW061;Employees (domestic concept);e
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;15;Sachsen-Anhalt;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-P;Education;54.4;1000;ERW063;Persons in employment (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;15;Sachsen-Anhalt;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-P;Education;2.4;1000;ERW062;Self-employed persons a. family workers (domestic);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;15;Sachsen-Anhalt;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-P;Education;52.0;1000;ERW061;Employees (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;07;Rheinland-Pfalz;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-H;Transportation and storage;100.5;1000;ERW063;Persons in employment (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;07;Rheinland-Pfalz;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-H;Transportation and storage;5.0;1000;ERW062;Self-employed persons a. family workers (domestic);p
13311;Regional employment accounts;JAHR;Year;2022;DLAND;Länder;07;Rheinland-Pfalz;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-H;Transportation and storage;95.4;1000;ERW061;Employees (domestic concept);p
13311;Regional employment accounts;JAHR;Year;2019;DLAND;Länder;07;Rheinland-Pfalz;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-B-E;Industry, except construction;396.2;1000;ERW063;Persons in employment (domestic concept);e
13311;Regional employment accounts;JAHR;Year;2019;DLAND;Länder;07;Rheinland-Pfalz;WZ08R1;WZ2008 (Sections, aggregations): Regional accounts;WZ08-B-E;Industry, except construction;9.3;1000;ERW062;Self-employed persons a. family workers (domestic);e
